FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%)
50000,Vermont,,78.699501396,3.7173106979,5.5434648825,82.973589328,71.378973706,10.2,2.9741454496,18.5,30.0,718,573.77707,80626,72.796568027,64.87978889,1.4743676869,2.0988039489,2.6233118753,91.454196681,154673,10.42015893,37.47427558,87.896432203,7.357086481,12.380502099,15.261985029,99.5541160821,5.8,13.7
50001,Vermont,Addison,80.646710152,3.4692902064,5.3722052808,88.568111455,66.195569137,8.6,1.51469455,14.7,29.4,42,371.15589,82234,79.983604318,83.529159864,1.2062566278,1.9114528102,3.2794273595,91.439554613,7854,10.417711653,17.011523069,90.224074327,5.2098988077,14.020783115,12.508638563,99.5360466731,6.5,11.8
50003,Vermont,Bennington,76.71107396,3.9800639555,5.4871235485,75.0,70.176355323,14.3,2.7851632114,18.6,33.4,43,521.74381,67124,75.662749385,63.159022144,1.3204959256,1.4979963962,2.9448941721,92.407820778,7655,9.88423583,43.619708838,81.593331511,11.172498465,13.801250945,16.017912504,99.7840717891,5.6,13.6
50005,Vermont,Caledonia,76.732193029,3.9400652528,5.9270866141,87.15648855,61.253477815,16.0,1.6712330391,20.4,36.0,24,431.23162,64229,78.1703813,83.848774518,0.8395949036,1.1597517151,2.1953609931,93.685070238,6829,11.348644546,40.799673603,84.856721286,8.8588588589,16.558265224,14.730538922,100.0,5.3,17.4
50007,Vermont,Chittenden,80.809171131,3.4264226467,5.1453881226,88.162609238,82.073875497,6.2,2.4980935409,16.4,26.5,295,810.1203100000001,96142,63.556350525,26.065362428,2.7778925071,4.9958402417,2.8970799087,86.623869342,45509,6.0620704049,29.056345428,91.793364848,3.3653745031,7.9439781035,16.508914814,98.9357355126,6.8,12.4
50009,Vermont,Essex,77.414818732,4.6318641555,6.1694240654,,57.194570136,19.1,10.024634399,19.7,32.3,1,66.55574,58359,83.180652254,100.0,0.615640599,0.7986688852,1.7803660566,94.159733777,1105,23.331233522,,83.913521436,,,17.032967033,99.5630898287,5.0,15.0
50011,Vermont,Franklin,77.570663543,3.8970455228,5.2401562606,86.074958814,65.274825387,10.7,1.8801226407,18.9,33.6,34,301.99631,85765,77.980107116,77.239418572,0.823626309,0.9707024356,2.0492606973,92.989371299,13172,15.251623003,29.189138987,88.523335884,11.893680836,12.421663381,13.473132372,99.9474613315,6.3,14.6
50013,Vermont,Grand Isle,78.526360306,3.4136459764,5.1980516061,,68.057210965,12.1,0.4448035957,16.0,30.6,5,93.74581,82896,90.903183886,100.0,0.8972813714,0.6696129637,2.4239989286,91.295031472,1678,,,92.267706303,10.924369748,,14.871794872,100.0,6.4,14.0
50015,Vermont,Lamoille,79.180358508,3.6017292004,5.5805104687,79.441624365,70.942902804,11.1,0.2893735842,18.9,30.8,23,529.5472,72811,72.732843137,100.0,1.2087490407,0.7252494244,2.5364543361,93.438219493,6883,11.739123143,33.523730933,89.767156863,9.5271700776,10.138902971,17.405355494,99.8064672204,5.4,14.3
50017,Vermont,Orange,79.073806932,3.6701417887,5.2648074425,82.105263158,64.882448617,11.4,3.4708148987,16.5,28.7,24,414.12016,73771,81.477716966,100.0,0.6913134956,0.6078215276,1.940353338,94.823497979,6763,12.254421395,36.271309394,86.62236122,7.1104088485,23.269342641,13.322567622,99.8482924076,5.6,11.8
50019,Vermont,Orleans,76.200411028,4.1105642047,5.3377552791,75.552631579,58.94502701,17.6,4.0001575664,21.9,35.9,20,319.81393,59906,79.942328895,100.0,0.9376362843,0.5705771188,1.9588602995,93.981683384,6294,19.498621922,35.318905358,88.09261301,18.055555556,18.375192021,15.652557319,99.6144743874,5.5,16.3
50021,Vermont,Rutland,76.532311803,4.011403107,5.4776654539,80.214962121,63.309462136,12.4,4.9147103465,18.6,31.5,44,389.90559,62634,72.681546683,67.724361091,0.799721259,0.7864478771,2.2863400309,94.416883742,13126,9.6622791867,50.917351626,84.191292047,9.6795184643,12.855905597,16.06,99.5501241037,7.6,14.5
50023,Vermont,Washington,78.977415544,3.7447573688,5.6844617884,80.64229249,75.140123035,8.1,5.9314126808,16.4,26.4,58,653.45349,79916,73.058805056,66.535689802,0.9444315121,0.9760234113,2.7850753217,93.051444914,14630,10.44480286,36.446213799,90.327392636,6.6505943969,12.207776354,12.412969962,99.872913076,5.7,15.1
50025,Vermont,Windham,78.556427656,3.8669317574,5.9141385602,72.921126761,65.763522263,11.1,3.6947898233,17.1,29.7,41,841.92664,64436,72.767039674,70.942163163,1.5511464996,1.3488230431,3.20889353,91.635121612,10039,12.461508695,52.259475763,79.048830112,9.8484848485,7.7652163983,16.950484674,99.8300783905,6.7,14.0
50027,Vermont,Windsor,77.924869142,3.5548435107,5.4076215844,81.838677355,68.826126675,10.0,1.1567972586,15.1,31.8,64,595.5147099999999,77932,74.852249427,78.643533669,0.9776079586,1.1824237104,2.4595101633,93.46827077,13136,10.96183751,56.033526727,88.17191332,9.0787165996,15.620895077,15.124153499,99.7516377511,5.9,11.8
